Word;Database;Concr.M;Concr.ET;Imag.M;Imag.ET;FreqSub.Moy;FreqSub.ET;ValEmo.Moy;ValEmo.ET
Etabli;-;4.41;1.05;3.72;1.34;2.44;1.12;2.60;1.00
Etalage;-;3.95;1.09;2.92;1.47;2.72;0.84;3.12;0.88
Etiquette;B;4.50;1.10;4.04;1.27;3.52;0.82;2.68;0.75
Etoile;AF;3.86;1.32;4.68;0.69;3.96;0.89;4.60;0.58
Etoile de mer;AF;4.82;0.66;4.60;1.04;2.04;0.61;3.84;1.31
Eventail;AF;4.59;0.96;4.08;1.22;2.20;0.65;3.28;1.06
Evier;B;4.82;0.66;4.20;1.26;4.00;0.76;2.68;0.95
Extincteur;-;4.73;0.70;4.40;1.00;2.32;0.75;2.60;1.12
Fakir;-;3.18;1.47;3.12;1.51;1.40;0.50;3.20;1.00
Famille;-;3.23;1.45;3.44;1.42;4.72;0.54;4.52;0.87
Faon;B;4.77;0.69;3.20;1.50;1.92;0.57;4.17;1.01
Fauteuil à bascule;AF;4.77;0.53;4.12;1.30;1.76;0.78;3.76;1.30
Fée;B;2.32;1.49;3.88;1.42;2.48;0.87;4.36;0.91
Femme;B;3.91;1.60;4.68;0.90;4.88;0.44;3.72;1.06
Fenêtre;AF;4.68;0.78;4.68;0.75;4.48;0.71;3.88;0.83
Fer à cheval;AF;4.86;0.64;4.56;1.00;1.92;0.57;3.16;1.14
Fer à repasser;AF;4.86;0.47;4.68;0.80;3.52;1.08;2.00;0.82
Fermeture éclair;AF;4.82;0.50;4.56;0.82;3.24;1.20;2.67;0.70
Feu;AF;3.77;1.07;4.44;0.77;4.20;0.76;3.04;1.40
Feuille;AF;4.32;1.21;4.12;1.33;4.56;0.65;3.92;0.86
Filet;-;4.77;0.69;3.80;1.26;2.84;0.85;2.72;0.89
Filet à papillon;AF;4.77;0.53;3.84;1.46;1.64;0.57;2.32;1.28
Fille;B;4.18;1.26;4.28;1.06;4.96;0.20;3.48;0.92
Film;-;3.77;1.41;3.76;1.36;4.76;0.44;4.48;0.59
Filtre;B;4.64;0.79;3.28;1.43;3.16;0.80;2.84;0.85
Fiole;-;4.18;1.01;2.88;1.13;2.00;0.65;3.12;1.05
Flacon;-;4.68;0.78;4.08;1.26;3.00;1.00;3.28;0.94
Flamand rose;AF;4.68;0.72;4.64;0.64;1.88;0.60;3.80;1.12
Flambeau;-;4.27;1.08;3.36;1.32;1.84;0.62;3.52;0.92
Flan;-;4.77;0.61;3.72;1.49;2.80;1.04;3.28;1.28
Flèche;AF;4.32;1.09;4.84;0.47;3.08;1.00;2.80;1.04
Fléchette;AF;4.91;0.29;4.28;1.14;2.36;0.91;3.16;1.03
Fleur;AF;4.64;0.73;4.60;0.71;4.20;0.71;4.44;0.77
Flipper;AF;4.41;1.14;3.84;1.57;2.64;1.15;3.00;1.15
Flocon (neige);B;4.18;1.01;4.48;0.96;2.76;0.78;4.48;0.65
Flûte;-;4.95;0.21;4.20;1.26;1.80;0.76;3.36;1.29
Flûte traversière;AF;4.86;0.35;4.28;1.17;1.76;0.66;3.28;1.17
Fouet;AF;4.77;0.61;4.40;0.82;2.48;0.87;1.64;0.86
Fougère;AF;4.81;0.51;4.32;1.11;2.12;0.73;3.48;1.12
Four;-;4.77;0.87;4.04;1.46;4.00;0.82;3.20;0.82
Fourche;B;4.36;1.22;3.96;1.21;2.12;0.78;2.08;0.86
Fourchette;AF;4.91;0.43;4.72;0.68;4.48;0.65;3.04;0.84
Fourmi;AF;4.77;0.69;4.56;0.92;2.80;0.87;3.08;1.22
Fourmilier;AF;4.36;1.14;2.08;1.35;1.56;0.51;2.20;1.19
Fraise;AF;4.91;0.29;4.92;0.28;3.72;0.94;4.16;1.03
Frigidaire;AF;4.77;0.69;4.56;0.92;3.08;1.12;3.44;0.87
Frites;-;4.77;0.61;4.76;0.60;4.24;0.78;3.72;1.06
Fromage;-;4.59;0.85;4.52;0.87;4.56;0.65;3.52;1.23
Fusée;AF;4.36;1.18;4.56;0.82;2.48;0.82;3.20;1.19
Fusil;-;4.82;0.66;4.68;0.63;2.36;0.91;1.12;0.44
Gant;AF;4.68;0.78;4.36;1.15;3.08;0.91;3.12;1.09
Garage;B;4.64;0.73;4.38;0.97;4.04;0.93;2.84;0.75
Garçon;B;4.09;1.34;4.32;1.07;4.80;0.58;4.13;0.80
Gâteau;AF;4.91;0.43;4.84;0.37;4.32;0.75;4.40;0.96
Géant;-;3.36;1.84;3.64;1.52;2.88;1.05;2.84;1.03
Geisha;-;3.42;1.54;2.36;1.29;1.48;0.71;2.72;1.06
Gendarme;-;4.19;1.36;4.32;1.14;3.44;1.00;2.00;0.91
Gilet;AF;4.82;0.50;4.16;1.21;3.44;1.00;3.36;0.81
Girafe;AF;4.82;0.66;4.80;0.50;2.20;0.82;3.72;0.89
Girouette;AF;4.45;1.01;4.04;1.31;1.96;0.68;3.00;0.82
Glace;-;4.64;0.66;4.56;0.87;3.84;0.80;4.44;0.82
Gland;AF;4.77;0.53;3.72;1.37;2.12;0.78;3.00;0.96
Globe;B;3.95;1.36;4.04;0.98;2.64;0.76;3.40;1.12
Gomme;B;4.95;0.21;4.64;0.76;4.12;0.83;3.28;0.94
Gorille;AF;4.73;0.88;4.56;0.82;1.84;0.69;2.80;0.96
Gourde;B;4.73;0.77;4.20;1.08;2.48;0.92;3.00;1.41
Goutte;B;4.09;1.38;4.16;0.99;3.76;0.93;3.36;0.86
Grande roue;AF;4.36;1.14;4.28;1.06;2.04;0.61;3.48;1.19
Grange;AF;4.55;0.86;3.80;1.12;2.44;0.82;3.20;0.91
Graphique;B;3.41;1.18;3.28;1.57;2.64;0.86;2.48;1.00
Grenade;B;4.73;0.77;3.84;1.40;2.00;0.71;1.52;0.96
Grenouille;AF;4.86;0.47;4.64;0.64;2.48;0.82;2.96;1.06
Griffe;B;4.41;0.85;3.64;1.29;2.56;0.77;2.08;1.19
Grille-pain;AF;4.86;0.64;4.72;0.68;3.52;1.05;3.84;0.80
Grotte;-;4.27;1.08;4.28;0.98;2.16;0.75;3.48;0.92
Groupe (rock);B;3.32;1.52;3.32;1.52;3.80;1.04;4.00;0.82
Grue;-;4.64;0.79;3.76;1.39;2.16;0.80;2.28;0.74
Guitare;AF;4.91;0.29;5.00;0.00;3.00;0.91;3.92;0.64
Gymnaste;B;4.36;1.00;3.76;1.27;2.68;0.95;2.96;1.34
Hache;AF;4.82;0.66;4.36;0.99;1.84;0.80;1.64;0.86
Hachoir;B;4.59;0.96;3.24;1.54;2.04;0.79;1.68;0.69
Haie;-;4.55;0.74;3.92;1.26;2.76;0.83;3.12;0.78
Haltère;B;4.77;0.69;4.00;1.47;1.80;0.65;2.40;1.08
Hamac;AF;4.86;0.35;4.36;0.99;2.08;0.91;4.44;0.77
Hamburger;AF;4.91;0.29;4.68;0.75;3.76;1.01;2.72;1.17
Hameçon;AF;4.73;0.77;3.96;1.27;1.76;0.66;1.88;0.88
Haricot;-;4.86;0.35;4.72;0.61;3.44;0.77;3.20;0.96
Harmonica;AF;4.91;0.29;4.64;0.81;1.92;0.64;3.50;0.88
Harpe;AF;4.75;0.64;4.12;1.13;1.64;0.57;3.40;1.26
Harpon;B;4.77;0.53;3.04;1.72;1.48;0.51;1.60;0.71
Hélice;AF;4.59;0.85;3.88;1.30;1.92;0.64;2.76;0.88
Hélicoptère;AF;4.86;0.64;4.84;0.47;2.52;0.82;3.12;1.01
Hérisson;B;4.86;0.47;4.72;0.68;2.28;0.79;3.64;1.32
Hibou;AF;4.82;0.66;4.56;0.87;2.24;0.83;3.24;1.01
Hiéroglyphe;B;3.81;1.12;3.68;1.52;1.72;0.74;3.64;0.81
Hippocampe;AF;4.59;0.80;3.84;1.52;1.56;0.65;3.32;1.07
Hippopotame;AF;4.77;0.69;4.28;1.06;1.92;0.81;3.28;1.06
Hochet;-;4.82;0.50;3.92;1.26;2.04;0.89;3.76;0.97
Homard;AF;4.77;0.69;4.32;1.11;1.88;0.67;2.76;1.13
Horloge;AF;4.82;0.39;4.68;0.63;3.40;1.04;3.08;1.04
Hot-dog;B;4.77;0.61;4.36;0.95;2.72;1.21;2.80;1.22
Hotte;-;4.50;0.96;3.60;1.35;2.36;0.91;3.72;0.79
Houx;B;4.82;0.59;4.12;1.30;2.04;0.89;3.76;1.09
Hublot;-;4.55;0.86;3.88;1.33;1.92;0.70;3.24;1.01
Huître;B;4.82;0.39;4.56;0.92;2.32;0.80;2.28;1.34
Hyène;AF;4.59;0.73;3.42;1.56;1.44;0.58;2.08;0.91
Iceberg;-;4.14;1.13;4.36;0.91;1.96;0.54;3.52;1.08
Igloo;AF;4.59;0.80;4.84;0.47;1.76;0.60;3.72;0.94
Ile;B;3.95;1.25;4.64;0.64;3.32;0.95;4.48;0.59
Indien;B;4.05;1.33;4.60;0.76;2.60;1.00;3.64;0.95
Infirmière;B;4.32;1.21;4.60;0.71;3.44;0.77;2.64;1.35
Interrupteur;AF;4.73;0.70;4.20;1.29;3.72;0.79;2.80;1.08
Jambe;AF;4.73;0.77;4.60;0.71;4.36;0.70;3.28;0.61
Jambon;B;4.64;0.73;4.48;0.87;4.08;0.91;3.44;0.77
Jeep;B;4.77;0.69;4.24;1.09;1.88;0.73;3.48;0.96
Journal;B;4.68;0.78;4.72;0.54;4.64;0.57;3.76;0.83
Juke-box;-;4.59;0.91;4.04;1.37;1.76;0.52;3.48;1.16
Jumelles;AF;4.55;0.86;4.36;0.95;2.88;0.78;3.44;1.08
Jupe;AF;4.86;0.47;4.36;1.22;3.56;1.12;3.24;1.16
Kangourou;AF;4.73;0.70;4.76;0.60;2.08;0.64;3.68;1.07
Képi;B;4.82;0.66;4.36;0.95;1.96;0.84;2.00;0.87
Kiosque;B;4.18;1.14;3.32;1.49;2.28;0.94;3.60;0.82
Klaxon;B;4.45;1.06;3.80;0.87;3.40;0.76;2.36;0.95
Kiwi;-;4.82;0.50;4.40;1.38;2.80;0.87;3.56;1.08
Koala;AF;4.68;0.78;3.84;1.34;1.68;0.48;3.72;1.14
Labyrinthe;B;3.64;1.36;4.20;1.08;2.28;0.74;3.04;1.27
Lac;-;4.18;1.05;4.40;0.91;3.12;0.73;4.32;0.90
Lacet;B;4.77;0.69;4.60;1.04;3.72;0.98;2.72;0.79
Laie;-;4.41;1.10;2.04;1.37;1.28;0.46;2.56;0.92
Laisse;-;4.59;0.85;3.96;1.34;2.48;1.08;2.24;1.16
Lait;-;4.55;1.06;4.16;1.07;4.40;0.76;3.60;0.96
Lama;AF;4.68;0.72;3.80;1.44;1.56;0.51;2.80;1.04
Lame;-;4.45;0.74;3.68;1.44;3.12;0.93;1.68;0.63
Lampadaire;B;4.82;0.66;4.36;1.04;2.84;0.62;2.96;0.98
Lampe;AF;4.81;0.51;4.44;0.92;4.04;0.68;3.48;0.65
Lance-pierre;B;4.82;0.50;3.80;1.22;1.80;0.71;2.08;0.76
Lance;B;4.62;0.92;3.08;1.56;2.04;0.84;1.92;0.70
Landau;AF;4.68;0.78;4.44;1.04;2.32;0.69;3.84;0.99
Langue;B;3.82;1.44;4.40;0.96;4.32;0.69;3.80;0.82
Lapin;AF;4.82;0.66;4.72;0.68;3.16;1.14;3.96;0.73
Laque;-;4.09;1.02;2.84;1.68;2.68;0.99;2.24;0.97
Larme;B;4.14;1.04;4.12;1.17;3.56;0.96;2.76;1.30
Lasso;-;4.64;0.79;3.60;1.55;1.56;0.51;2.60;0.91
Lavabo;B;4.73;0.70;4.40;0.91;4.04;0.84;3.16;0.90
Léopard;AF;4.73;0.70;4.12;1.24;1.76;0.78;3.76;1.16
Lettre;B;3.95;1.33;4.16;1.18;4.32;0.69;4.16;1.14
Lèvres;-;4.68;0.57;4.68;0.75;4.20;0.76;4.28;0.79
Lézard;AF;4.86;0.47;4.56;0.82;2.48;0.77;2.36;1.11
Libellule;AF;4.82;0.66;4.28;1.02;2.04;0.79;3.60;1.15
Licorne;B;3.00;1.72;4.00;1.29;1.68;0.56;4.04;0.79
Limace;B;4.77;0.61;4.46;0.83;2.20;0.71;1.52;0.82
Lime;AF;4.68;0.65;3.84;1.43;2.92;1.19;2.20;0.82
Lion;AF;4.77;0.69;4.80;0.50;2.44;0.82;3.44;1.12
Lionceau;B;4.77;0.69;3.83;1.24;1.76;0.60;4.12;1.01
Lit;AF;4.68;0.78;4.96;0.20;4.68;0.56;4.36;0.76
Livre;AF;4.95;0.22;4.92;0.28;4.88;0.33;4.32;0.85
Locomotive;B;4.82;0.66;4.40;1.00;2.28;1.02;2.84;0.90
Louche;AF;4.81;0.68;4.44;0.96;3.00;0.96;2.56;0.92
Loup;AF;4.73;0.55;4.84;0.37;2.68;0.80;3.08;1.26
Loupe;B;4.91;0.29;4.36;1.04;2.52;0.77;2.84;0.80
Luge;AF;4.77;0.69;4.60;0.71;2.44;0.71;4.12;0.73
Lune;AF;4.18;1.10;4.84;0.47;4.00;0.71;4.32;0.69
Lunettes;AF;4.95;0.21;4.80;0.71;4.36;0.86;3.08;1.15
Luth;-;4.05;1.17;1.84;1.31;1.40;0.58;3.12;1.01
Lutte;-;2.86;1.52;2.52;1.53;2.60;1.04;2.08;0.83
Lynx;-;4.55;0.91;3.00;1.76;1.56;0.58;3.32;1.25
Machine à laver;AF;4.77;0.87;4.72;0.68;4.16;0.85;2.48;1.05
Magicien;B;3.09;1.66;4.12;1.01;2.72;0.94;4.44;0.71
Magnétophone;B;4.82;0.59;4.12;1.33;2.36;1.08;3.28;0.89
Maillot de bain;AF;4.68;0.84;4.68;0.63;3.76;0.88;3.76;1.30
Main;AF;4.82;0.59;4.72;0.68;4.60;0.65;4.28;0.68
Maïs;AF;4.77;0.53;4.80;0.65;3.32;0.95;3.56;1.00
Maison;AF;4.64;0.95;4.76;0.52;4.84;0.37;4.68;0.63
Malle;AF;4.55;1.06;4.12;1.13;2.24;1.01;3.36;1.11
Manteau;AF;4.91;0.29;4.28;1.10;4.20;0.96;3.64;0.95
Mappemonde;AF;3.95;1.43;3.60;1.44;1.72;0.68;3.44;0.96
Maracas;AF;4.57;0.87;3.00;1.50;1.56;0.58;3.40;0.91
Marcassin;-;4.76;0.70;3.29;1.43;1.52;0.51;3.08;1.12
Marelle;B;4.14;1.25;4.32;1.07;2.08;0.81;3.68;1.07
Marguerite;-;4.86;0.35;4.56;0.87;2.44;0.77;4.16;0.80
Marin;B;4.14;1.08;4.12;1.01;2.56;0.77;3.48;0.87
Marionnette;-;4.59;0.85;4.24;1.20;2.32;0.85;3.80;1.00
Marmite;-;4.77;0.53;4.44;0.87;2.40;0.91;3.00;0.71
Marron;-;4.05;1.09;4.12;1.05;3.40;1.08;2.84;1.07
Marteau;AF;4.82;0.66;4.64;0.76;2.88;1.01;2.16;0.80
Masque;B;4.32;1.13;4.04;1.31;2.76;0.88;3.04;1.14
Massue;B;4.73;0.63;3.24;1.51;1.76;0.60;2.00;0.87
Mèche;B;4.27;1.03;3.48;1.58;3.32;0.95;3.00;0.82
Médaille;B;4.59;0.91;3.80;1.50;2.64;0.86;3.80;1.00
Médicament;B;4.36;0.95;3.96;1.27;4.08;0.81;1.88;1.09
Méduse;AF;4.45;1.01;4.04;1.34;2.00;0.76;1.24;0.44
Mégot;-;4.77;0.53;4.36;1.08;3.36;1.19;1.24;0.60
Menhir;-;4.45;1.10;4.08;1.08;1.76;0.66;3.32;0.90
Menottes;B;4.82;0.50;4.56;0.82;2.08;0.91;1.20;0.41
Mer;B;4.05;1.25;4.64;0.70;4.16;0.69;4.28;1.02
Mètre;B;3.05;1.46;3.36;1.52;4.24;0.88;2.76;0.78
Micro;B;4.36;1.18;4.40;0.82;2.84;0.94;2.88;1.05
Microscope;AF;4.77;0.69;4.24;1.16;2.20;0.82;2.96;1.06
Miroir;B;4.59;1.10;4.52;0.96;3.92;0.86;3.52;0.82
Mite;-;4.23;1.11;1.80;1.35;1.96;0.84;1.60;0.82
Mitraillette;B;4.77;0.69;3.80;1.19;2.24;0.60;1.12;0.33
Momie;B;3.95;1.40;4.36;0.86;1.80;0.82;1.80;0.71
Monde;B;2.55;1.53;3.44;1.39;4.56;0.65;3.80;0.76
Montagne;AF;4.14;1.28;4.68;0.75;3.88;0.97;4.32;0.90
Montgolfière;B;4.68;0.89;4.56;0.87;2.12;0.73;3.52;1.29
Montre;AF;4.86;0.35;4.76;0.60;4.44;0.71;3.64;1.08
Morse;AF;3.82;1.37;3.20;1.68;1.60;0.65;2.68;0.95
Motard;B;4.45;0.86;4.44;0.92;3.28;0.94;2.76;1.23
Moto;AF;4.82;0.50;4.88;0.44;3.88;0.78;2.76;1.42
Mouche;AF;4.77;0.69;4.60;0.71;3.72;0.94;1.72;0.74
Moufle;AF;4.77;0.53;4.36;1.08;2.00;0.71;3.40;0.96
Moule;-;4.77;0.69;4.32;0.99;2.28;0.79;3.00;1.29
Moulin;AF;4.64;0.90;4.44;0.77;2.44;0.92;3.72;0.94
Moustache;B;4.64;0.73;4.72;0.46;2.96;0.68;1.96;0.68
Moustique;B;4.86;0.35;4.60;0.71;3.64;0.91;1.25;0.44
Mouton;AF;4.82;0.66;4.63;0.77;2.76;1.05;3.20;0.96
Mur;B;4.68;0.72;4.60;0.87;3.84;1.07;2.68;0.75
Mûre;-;4.73;0.55;4.72;0.74;2.84;0.94;4.08;0.83
Nappe;-;4.77;0.87;4.36;1.04;3.36;0.99;3.25;0.68
Natte;B;4.68;0.57;4.36;0.99;3.12;1.13;3.16;0.90
Navette;-;3.95;1.36;2.88;1.42;2.12;0.73;2.60;1.04
Nez;AF;4.82;0.50;4.80;0.50;4.28;0.79;2.80;0.87
Niche;AF;4.91;0.43;4.40;0.96;2.56;1.12;3.12;1.13
Nid;AF;4.33;1.06;4.40;0.87;2.68;0.63;4.04;0.79
Nœud;AF;4.14;1.21;3.60;1.55;3.28;0.98;2.68;0.80
Noix;B;4.91;0.29;4.64;0.76;2.88;0.93;3.36;0.86
Note;B;2.64;1.50;4.12;1.39;2.60;1.12;3.68;1.03
Nuage;AF;3.86;1.49;4.72;0.61;4.04;0.89;3.56;1.33
Œil;AF;4.68;0.78;4.92;0.28;4.44;0.65;3.72;0.79
Œuf;B;4.73;0.70;4.88;0.44;4.12;0.83;3.40;1.00
Oie;B;4.82;0.66;4.40;0.91;2.28;0.74;3.04;1.10
Oignon;AF;4.91;0.43;4.48;0.87;3.64;0.95;2.84;0.90
Oiseau;AF;4.77;0.69;4.56;0.71;3.96;0.79;3.68;0.90
Ongle;B;4.68;0.57;4.40;1.15;3.72;1.14;2.64;0.86
Orage;-;3.68;1.43;3.84;1.28;3.52;0.65;2.68;1.55
Orange;AF;4.82;0.59;4.88;0.44;3.80;0.82;4.00;0.82
Oreille;AF;4.91;0.43;4.68;0.75;4.04;0.73;3.36;0.76
Oreiller;B;4.82;0.50;4.68;0.56;4.04;1.02;4.48;0.65
Orgue;B;4.68;0.72;3.64;1.22;2.04;0.89;3.16;1.07
Ornithorynque;AF;3.68;1.52;2.04;1.46;1.32;0.56;2.64;1.04
Orteil;AF;4.64;0.79;4.64;0.81;3.00;0.96;2.60;0.71
Os;B;4.68;0.65;4.72;0.61;3.44;1.08;2.12;0.93
Ours;AF;4.59;0.91;4.68;0.69;2.52;0.87;3.40;0.91
Page;-;4.23;1.15;3.88;1.45;4.28;0.74;3.48;0.71
Pain;-;4.77;0.61;4.88;0.44;4.84;0.37;3.88;0.78
Palace;-;4.09;1.15;2.96;1.37;2.20;0.87;3.96;0.98
Palette;-;4.41;1.01;3.40;1.50;2.48;0.65;3.04;0.73
Palme;B;4.68;0.78;3.44;1.53;2.16;0.75;3.64;0.91
Palmier;AF;4.73;0.77;4.52;0.71;2.20;0.87;4.44;0.77
Panda;AF;4.82;0.66;4.32;1.14;1.72;0.74;3.92;1.15
Panier;AF;4.77;0.53;4.40;1.04;2.92;0.91;3.32;0.80
Pantalon;AF;4.82;0.50;4.64;0.64;4.64;0.49;3.64;0.91
Panthère;-;4.82;0.66;4.36;0.91;1.96;0.68;3.76;1.13
Paon;AF;4.82;0.66;4.04;1.37;1.68;0.63;3.28;0.98
Papillon;AF;4.64;0.73;4.80;0.58;3.24;1.09;4.16;1.21
Paquet;B;3.82;1.26;3.52;1.61;3.72;1.06;3.36;1.08
Parabole;B;4.14;1.39;3.84;1.28;2.92;1.12;3.48;0.96
Parachute;AF;4.73;0.63;4.20;1.12;2.44;0.96;3.44;1.08
Parapluie;AF;4.91;0.29;4.72;0.61;4.04;0.93;3.16;1.28
Parchemin;B;4.36;1.05;3.72;1.14;1.56;0.51;3.84;0.80
Partition;B;4.32;1.13;4.20;1.12;2.48;0.92;3.32;1.07
Passoire;AF;4.77;0.69;4.68;0.75;2.88;1.20;2.76;0.83
Pastèque;AF;4.86;0.47;4.56;0.87;2.36;0.95;3.76;1.20
Patin à roulette;AF;4.77;0.69;4.44;0.82;2.56;1.00;3.36;1.15
Paume;B;4.29;1.10;3.36;1.63;2.56;0.96;3.42;0.65
Pêche;AF;3.73;1.32;4.16;1.21;3.46;0.83;2.64;1.08
Pédale;-;4.55;0.80;3.84;1.28;2.76;1.01;2.75;0.79
Peigne;AF;4.82;0.50;4.72;0.68;3.88;1.09;3.12;0.93
Pélican;AF;4.82;0.66;3.64;1.47;1.64;0.57;3.20;1.12
Pelle;AF;4.77;0.69;4.56;0.87;2.72;0.89;2.20;0.82
Pelote;B;4.82;0.50;3.64;1.50;2.32;0.95;3.24;1.05
Pendentif;-;4.68;0.78;4.44;0.92;3.32;0.85;3.76;1.09
Pendule;B;4.68;0.65;3.76;1.33;3.24;1.09;2.76;0.88
Perceuse;B;4.82;0.66;4.24;1.05;2.60;0.87;2.04;0.93
Père-Noel;B;2.82;1.59;4.84;0.47;3.16;0.99;4.36;0.99
Perfusion;B;4.36;1.00;3.96;1.21;2.40;0.91;1.24;0.66
Perle;-;4.77;0.53;4.00;1.19;3.08;1.00;3.92;1.12
Perroquet;AF;4.68;0.84;4.76;0.60;2.04;0.68;3.20;1.22
Perruche;-;4.77;0.69;3.56;1.36;1.88;0.73;2.88;1.01
Persil;-;4.73;0.55;4.40;1.00;3.08;0.86;3.12;0.93
Pétard;-;4.32;1.32;3.48;1.42;2.72;1.21;2.12;1.09
Petits-pois;AF;4.91;0.29;4.56;0.82;3.52;1.12;3.00;1.04
Pharaon;-;3.59;1.53;3.32;1.49;1.72;0.61;3.36;1.15
Phare;-;4.68;0.78;4.56;0.87;3.28;1.17;3.64;1.04
Phoque;AF;4.64;0.79;4.36;0.99;1.84;0.62;3.28;1.17
Piano;AF;4.91;0.43;4.76;0.60;3.00;1.08;3.88;0.88
Pichet;-;4.82;0.66;4.00;1.41;2.92;1.00;3.12;0.78
Pièce;B;4.73;0.70;4.56;0.82;4.44;0.77;3.68;1.14
Pied;AF;4.73;0.63;4.68;0.63;4.48;0.71;3.40;0.65
Pigeon;B;4.77;0.69;4.64;0.64;2.96;0.89;2.40;0.87
Pile;B;4.73;0.77;4.04;1.14;3.56;0.82;2.80;0.91
Piment;-;4.77;0.53;3.80;1.50;2.32;0.80;2.72;1.06
Pin;-;4.82;0.50;3.84;1.34;2.36;0.86;4.00;0.87
Pince;AF;4.82;0.39;3.68;1.18;3.24;1.05;2.48;0.59
Pince à linge;AF;4.86;0.64;4.54;0.83;3.40;1.00;2.76;0.78
Pinceau;AF;4.91;0.43;4.56;0.92;3.08;0.91;3.68;0.90
Pingouin;AF;4.82;0.66;4.50;0.83;1.84;0.69;3.68;0.85
Piolet;-;4.36;0.90;2.68;1.65;1.48;0.51;2.36;0.91
Pion;B;4.32;1.13;3.28;1.34;2.84;0.85;3.04;1.06
Pipe;AF;4.91;0.29;4.44;1.00;2.44;0.77;2.44;1.23
Piscine;B;4.68;0.65;4.60;0.65;3.80;0.91;4.24;0.93
Pistolet;AF;4.86;0.64;4.56;0.96;2.28;0.79;1.44;0.71
Placard;-;4.86;0.35;3.96;1.10;3.92;0.95;2.96;0.73
Plan;-;3.77;1.45;3.04;1.59;3.56;0.87;2.80;1.04
Planche à découper;AF;4.77;0.69;3.84;1.49;2.60;1.22;2.20;0.76
Planète;B;3.77;1.27;4.16;0.94;3.56;1.04;3.88;0.73
Plante;B;4.64;0.66;4.12;1.05;3.92;0.81;4.08;0.86
Plat;B;4.27;1.20;4.12;1.30;4.40;0.76;3.20;0.50
Plongeur;B;4.27;1.28;4.36;0.81;2.52;0.77;3.72;0.98
Plume;AF;4.68;0.65;4.52;0.92;2.68;1.11;3.60;0.82
Pneu;AF;4.86;0.47;4.80;0.50;3.72;0.74;2.44;0.87
Poche;B;4.41;0.96;3.84;1.37;4.04;0.89;3.08;0.86
Poêle;AF;4.77;0.69;4.36;0.99;4.04;0.89;2.64;0.81
Poids;-;2.73;1.52;2.52;1.61;3.88;0.97;2.36;0.81
Poignée;AF;4.00;1.27;3.56;1.33;3.60;0.82;2.68;0.75
Poing;B;4.59;0.67;4.08;1.26;3.00;1.04;2.29;0.91
Point;-;3.55;1.65;4.04;1.52;4.44;0.71;2.84;0.80
Poire;AF;4.91;0.29;4.76;0.72;3.24;0.88;3.64;0.99
Poireau;B;4.91;0.29;4.44;1.12;2.96;1.06;2.80;1.19
Pois;-;4.45;1.06;3.40;1.55;2.36;1.04;2.72;1.02
Poisson;AF;4.73;0.70;4.80;0.58;4.00;0.87;2.72;1.10
Poivron;AF;4.82;0.50;4.20;1.29;2.72;0.98;2.88;1.17
Pomme;AF;4.86;0.47;4.92;0.28;4.52;0.71;3.96;0.73
Pomme de terre;AF;4.86;0.35;4.80;0.58;4.36;0.76;3.60;0.65
Pompe;-;4.23;1.31;3.04;1.59;2.72;1.10;2.56;0.92
Pont;B;4.50;0.91;4.56;0.96;3.64;0.76;3.52;0.87
Porc;-;4.82;0.66;4.48;0.92;3.24;0.93;2.48;0.87
Porte;AF;4.68;0.57;4.40;0.87;4.72;0.54;3.04;0.68
Portefeuille;B;4.73;0.88;4.60;0.76;4.40;0.65;3.40;0.96
Pot;B;4.55;0.96;3.84;1.46;3.40;0.96;2.84;0.55
Poteau;B;4.59;0.80;3.88;1.33;3.16;1.07;2.16;0.75
Poubelle;AF;4.73;0.88;4.68;0.63;4.20;0.82;1.56;0.71
Pouce;AF;4.73;0.63;4.84;0.55;3.88;0.97;3.20;0.87
Poule;AF;4.86;0.47;4.76;0.72;3.04;0.89;2.76;1.01
Poulet;B;4.86;0.47;4.52;0.87;3.84;0.90;3.12;0.88
Poulpe;AF;4.50;0.80;3.20;1.44;1.60;0.58;1.76;0.88
Poumons;AF;4.36;1.00;3.44;1.39;3.64;0.99;3.20;1.08
Poupée;AF;4.82;0.50;4.52;0.77;3.40;0.96;3.84;1.18
Poussin;B;4.77;0.43;4.76;0.60;2.56;0.92;4.32;0.69
Pré;B;4.23;1.27;4.16;1.07;3.00;0.87;4.24;0.60
Prise;AF;3.50;1.41;2.60;1.50;3.36;0.99;2.67;0.87
Prison;-;4.05;1.17;4.00;1.12;3.24;1.05;1.16;0.37
Projecteur;-;4.64;0.73;3.08;1.38;2.68;0.75;3.08;0.57
Prune;-;4.91;0.29;4.12;1.09;2.72;0.94;3.56;1.04
Puits;AF;4.48;0.98;4.16;1.14;2.20;0.58;2.48;1.26
Pull-over;AF;4.86;0.35;4.48;1.05;4.20;0.87;4.08;1.04
Punaise;B;4.59;0.73;3.72;1.46;2.56;1.19;1.52;0.65
Puzzle;B;4.73;0.55;4.40;0.91;2.88;0.78;3.88;0.93
Pyramide;AF;4.36;1.09;4.68;0.56;2.16;0.75;3.76;0.97
Queue de poisson;AF;4.23;1.11;3.80;1.61;2.52;0.96;1.96;0.98
Quille;B;4.55;0.96;4.04;1.21;2.12;0.78;3.04;0.98
Rabot;-;4.50;0.96;2.64;1.68;1.48;0.65;2.40;0.76
