ID;Word;English Trans.;POS;VAL_M;VAL_SD;VAL_N;ARO_M;ARO_SD;ARO_N;CON_M;CON_SD;CON_N;IMA_M;IMA_SD;IMA_N;AVA_M;AVA_SD;AVA_N;FAM_M;FAM_SD;FAM_N
190;brevedad;brevity;N;4.55;1.93;20;3.55;1.77;22;3.78;1.95;23;2.61;1.80;23;4.35;2.27;23;5.33;1.43;21
191;brillante;bright;A N;7.15;1.16;26;6.15;1.87;20;2.90;1.76;21;4.30;2.15;20;4.55;2.18;22;5.68;1.32;22
192;brutalidad;brutality;N;2.79;1.64;24;8.05;1.13;22;4.22;1.54;23;3.61;1.90;23;3.35;1.98;20;4.48;1.75;21
193;bufanda;scarf;N;5.39;1.20;23;3.05;1.70;20;6.52;0.68;21;6.90;0.45;20;5.91;1.74;22;6.64;0.49;22
194;bulto;bulk;N;3.82;1.31;28;5.61;2.37;23;3.14;2.01;22;4.71;1.74;21;2.57;1.80;21;5.18;1.92;22
195;burro;donkey;N;4.85;1.27;20;4.67;2.03;21;5.64;1.50;22;6.70;0.80;20;5.70;2.15;20;5.70;1.56;20
196;butaca;armchair;N;5.91;0.87;22;2.95;1.79;22;6.40;0.99;20;6.76;0.44;21;5.75;2.29;20;6.00;1.02;22
197;buzón;mailbox;N;4.77;0.71;26;3.75;1.65;20;5.52;1.91;21;6.85;0.37;20;5.45;2.11;22;6.32;1.25;22
198;cabello;hair;N;6.15;1.04;20;4.10;2.61;21;6.32;0.72;22;6.59;0.59;22;6.35;1.43;23;6.15;1.31;20
199;cachondeo;joke;N V;5.64;2.50;22;7.45;1.57;20;3.71;2.05;21;3.85;1.60;20;5.63;1.21;24;6.18;0.80;22
200;cadáver;corpse;N;1.68;1.04;22;7.09;1.54;22;6.14;1.39;22;6.50;0.69;20;5.45;1.82;22;5.05;1.28;21
201;caer;to fall out;V;3.00;1.17;23;6.27;2.41;22;4.91;1.57;22;5.14;1.46;21;5.91;1.41;22;6.33;1.11;21
202;caja;box;N;4.85;0.88;26;3.55;1.73;20;4.19;1.94;21;6.60;0.75;20;5.50;1.99;22;6.68;0.65;22
203;cálculo;calculation;N;4.35;0.93;20;4.86;1.88;22;3.19;1.72;21;4.18;1.87;22;4.55;1.57;20;5.33;1.43;21
204;calefacción;heating;N;6.57;1.47;23;2.50;1.92;22;5.57;1.50;21;5.95;1.47;20;6.59;0.85;22;6.75;0.44;20
205;calidad;quality;N;6.83;1.53;23;4.15;2.62;20;2.50;1.36;20;2.90;1.71;20;4.55;2.11;22;5.75;1.55;20
206;callado;silent;A V;4.05;1.64;20;3.80;2.26;20;5.91;1.47;23;5.09;1.98;23;5.36;1.97;22;6.38;0.86;21
207;calvario;calvary;N;2.13;0.87;23;6.27;2.37;22;2.73;1.64;22;2.50;1.54;20;3.59;2.13;22;4.14;1.46;21
208;cama;bed;N;6.86;1.25;22;2.55;2.16;20;6.77;0.53;22;7.00;0.00;22;6.75;0.55;20;6.95;0.21;22
209;camarera;waitress;N;5.50;1.29;28;4.87;2.40;23;6.09;1.06;22;6.19;1.29;21;5.71;1.93;21;6.48;0.93;21
210;cambio;exchange;N V;5.27;1.75;22;6.10;2.15;20;3.09;1.80;22;2.09;1.41;22;5.32;1.64;22;6.38;1.07;21
211;camión;truck;N;5.05;0.97;21;5.05;1.54;20;6.38;1.02;21;6.86;0.35;22;6.09;1.34;22;6.24;1.22;21
212;camiseta;shirt;N;5.48;0.99;23;4.35;1.98;20;6.60;0.60;20;6.86;0.36;21;6.45;0.96;22;6.64;1.05;22
213;camisón;nightgown;N;5.38;0.90;26;3.45;1.79;20;6.14;0.96;21;6.60;0.99;20;5.00;2.14;22;4.85;2.08;20
214;campamento;camp;N;7.05;1.50;22;4.65;2.52;20;5.48;1.29;21;5.41;1.30;22;5.18;2.17;22;5.50;1.79;20
215;campaña;campaign;N;4.80;0.70;20;4.15;1.73;20;3.15;1.90;20;3.65;1.76;20;5.25;2.22;20;4.90;1.67;21
216;campeona;champion;N;8.30;0.92;20;7.09;1.80;22;5.04;1.52;23;6.04;1.36;23;4.67;1.74;21;5.60;1.60;20
217;campeonato;championship;N;5.67;1.66;24;6.90;2.19;21;4.50;1.47;22;5.35;1.37;23;6.10;1.21;20;5.55;1.47;22
218;campesino;peasant;A N;5.05;1.05;22;3.75;1.74;20;6.19;0.93;21;6.75;0.55;20;4.83;2.24;24;4.65;1.98;20
219;canal;channel;N;4.76;0.62;21;3.27;1.72;22;3.59;1.68;22;4.22;2.04;23;6.15;1.69;20;5.90;1.14;21
220;cáncer;cancer;N;1.09;0.29;22;7.60;1.31;20;5.23;1.63;22;3.09;1.66;22;5.15;1.79;20;5.81;1.69;21
221;canción;song;N;7.55;1.37;22;4.64;2.85;22;5.10;1.86;20;3.90;2.07;20;6.41;1.14;22;6.90;0.30;21
222;candado;padlock;N V;3.86;1.75;22;4.30;2.32;20;6.67;0.58;21;6.77;0.53;22;4.96;2.40;24;5.50;1.79;20
223;candidata;candidate;N;5.64;1.03;28;4.43;1.88;23;3.64;1.84;22;2.76;1.84;21;3.67;1.91;21;5.45;1.77;22
224;candidato;candidate;N;5.00;0.65;20;4.75;1.62;20;3.19;1.63;21;3.68;2.17;22;4.55;1.97;22;5.59;1.44;22
225;cansancio;fatigue;N;2.80;1.15;20;4.45;2.81;22;3.80;1.94;20;3.95;1.75;21;5.39;2.06;23;6.65;0.49;20
226;cantidad;amount;N;5.38;1.32;21;4.73;1.80;22;2.05;1.12;21;2.80;1.61;20;3.59;2.06;22;6.55;0.89;20
227;caña;cane;N V;5.14;1.35;21;4.45;1.18;22;5.20;1.44;20;6.24;0.94;21;6.00;1.49;20;5.86;1.46;22
228;cañón;canyon;N A;2.95;1.72;21;5.80;1.94;20;6.35;0.88;20;6.55;1.36;20;4.50;2.12;20;5.14;1.80;21
229;capa;layer;N V;5.19;0.68;21;3.95;1.70;22;5.85;1.14;20;6.41;0.85;22;5.05;2.26;20;5.45;1.53;22
230;capacidad;capacity;N;7.13;1.32;23;4.73;2.57;22;2.65;1.60;20;2.00;1.24;23;2.82;1.47;22;6.25;1.21;20
231;capilla;chapel;N;3.91;1.38;22;4.05;2.01;21;5.90;1.26;21;5.86;1.15;21;5.09;1.85;22;4.50;1.87;22
232;capital;capital;A N;5.33;0.80;21;4.50;1.88;20;4.00;2.24;21;4.96;1.66;23;5.10;2.15;20;6.39;0.84;23
233;capitán;captain;N;5.22;1.57;23;3.95;2.61;22;5.71;1.45;21;5.57;1.16;21;4.82;2.20;22;5.65;1.92;23
234;capricho;whim;N;5.48;2.02;21;5.55;1.82;20;2.95;1.61;20;2.14;1.46;22;4.05;2.21;22;5.60;1.79;20
235;carcajada;laugh;N;8.33;0.66;21;4.81;2.96;21;5.55;1.53;22;6.15;1.27;20;6.17;1.37;23;6.00;1.05;21
236;carcelero;jailer;A N;3.39;1.20;28;5.30;2.34;23;5.00;1.66;22;4.05;1.86;21;4.00;2.30;21;4.19;1.97;21
237;cardenal;cardinal;N;3.81;1.47;21;4.85;1.95;20;5.18;1.65;22;4.86;1.85;21;3.55;2.19;20;3.90;2.25;20
238;carga;load;V N;3.80;1.28;20;4.91;2.04;22;3.74;1.81;23;4.35;2.06;23;4.09;2.41;23;5.19;1.60;21
239;caricia;caress;N;8.10;1.04;21;4.15;3.08;20;4.55;1.54;20;5.35;1.23;20;6.20;1.20;20;6.50;0.67;22
240;caridad;charity;N;6.50;2.69;20;4.32;1.86;22;3.91;1.78;23;3.13;1.79;23;4.83;2.29;23;5.24;1.41;21
241;cariño;love;V N;8.58;0.72;24;4.86;3.28;21;3.50;1.79;22;4.19;2.04;21;5.55;1.79;20;6.82;0.50;22
242;cariñoso;affectionate;A;7.35;1.46;20;4.48;2.69;21;4.30;1.49;20;4.15;1.42;20;5.65;1.84;20;6.68;0.89;22
243;carmín;carmine;A;5.67;0.91;21;4.25;1.83;20;5.65;1.39;20;5.14;1.81;22;3.55;2.15;22;4.55;2.06;22
244;carnicería;butchery;N;4.15;1.39;20;5.60;1.79;20;6.22;1.31;23;6.78;0.52;23;6.05;1.21;22;5.95;1.40;22
245;carpeta;folder;N;5.17;0.98;23;3.90;1.83;20;6.05;1.46;22;6.77;0.53;22;6.64;0.58;22;6.62;0.59;21
246;cartel;poster;N;5.25;0.70;28;3.65;1.99;23;4.41;2.22;22;6.38;1.02;21;4.67;1.85;21;6.10;0.94;21
247;carterista;pickpocket;N;2.23;1.45;26;6.65;1.81;20;5.81;1.33;21;4.50;1.99;20;5.00;1.85;22;5.04;1.92;23
248;casaca;coat;N;5.08;0.98;26;3.85;1.79;20;5.48;1.63;21;4.70;2.39;20;2.09;1.69;22;2.38;1.66;21
249;casco;helmet;V N;5.00;0.98;22;3.50;1.82;20;6.00;0.97;20;6.43;0.98;21;5.80;1.82;20;6.05;1.72;21
250;caseta;stand;N;4.90;0.91;20;4.15;1.79;20;4.10;1.84;21;5.95;1.17;22;4.68;2.01;22;5.60;1.43;20
251;casino;casino;N;4.95;1.50;20;5.14;2.01;21;6.05;1.28;20;5.95;1.28;21;5.00;2.02;22;4.76;1.37;21
252;castidad;chastity;N;2.41;1.40;22;4.45;1.39;20;5.45;1.87;22;2.85;1.18;20;2.83;2.04;24;3.80;2.21;20
253;castillo;castle;N;6.09;1.54;22;4.15;2.30;20;6.15;0.93;20;6.81;0.40;21;5.36;1.92;22;6.00;1.23;22
254;casualidad;chance;N;6.48;1.20;23;5.10;2.31;20;2.60;1.54;20;1.77;1.45;22;4.73;1.75;22;5.85;1.60;20
255;catálogo;catalog;N;5.59;1.10;22;4.10;2.29;20;4.82;1.92;22;5.45;1.18;22;5.00;2.00;22;5.41;1.37;22
256;cateto;hick;N;3.86;1.32;22;4.65;1.93;20;4.27;1.80;22;3.00;1.90;22;3.55;1.82;20;4.73;1.86;22
257;caudal;flow;A N;4.81;0.98;21;4.18;1.92;22;4.68;1.81;22;4.43;1.97;23;3.65;2.66;20;4.45;1.95;22
258;cazadora;jacket;A N;5.36;1.42;28;3.78;1.98;23;4.82;1.92;22;6.38;1.02;21;5.43;2.06;21;6.65;0.78;23
259;cebolla;onion;N;3.61;1.56;23;3.59;2.22;22;6.75;0.55;20;6.95;0.21;22;6.18;1.10;22;6.87;0.34;23
260;celador;warden;A N;4.60;0.99;20;5.35;1.79;20;5.33;1.06;21;4.52;2.27;23;4.14;2.23;22;4.27;1.88;22
261;celadora;warden;A N;4.80;1.20;20;5.20;1.82;20;5.52;1.12;21;4.55;2.09;22;3.41;2.24;22;3.48;2.20;21
262;celda;cell;N;2.65;1.43;23;5.75;2.73;20;5.71;1.62;21;6.23;0.97;22;5.23;1.95;22;4.82;1.44;22
263;celo;zeal;V N;4.75;1.55;20;5.00;2.41;21;4.00;1.69;20;5.33;2.06;21;5.00;2.09;22;5.40;1.67;20
264;celos;jealousy;N;2.55;1.10;22;7.15;1.53;20;4.87;1.94;23;4.13;2.14;23;5.27;1.55;22;6.00;1.41;21
265;célula;cell;N;5.20;0.62;20;4.27;1.64;22;5.36;1.65;22;4.86;1.85;21;2.91;1.85;22;5.27;1.61;22
266;cementerio;cemetery;N;2.08;1.86;24;5.52;2.73;21;6.35;0.93;20;6.78;0.52;23;6.45;1.00;20;5.81;1.63;21
267;cemento;cement;V N;5.00;1.10;24;4.00;2.28;21;6.81;0.51;21;6.17;1.15;23;5.60;1.79;20;5.50;1.28;20
268;cenicero;ashtray;N;4.39;1.56;23;4.05;1.84;22;6.70;0.57;20;6.91;0.29;22;5.77;1.66;22;5.75;1.83;20
269;ceniza;ash;N A;3.50;1.37;22;4.71;1.71;21;6.57;0.60;21;6.32;0.89;22;4.36;2.36;22;5.38;1.86;21
270;centímetro;centimeter;N;4.83;1.27;24;3.10;1.92;21;5.90;1.41;21;4.05;1.99;22;3.90;2.31;20;6.00;0.95;21
271;centuria;century;N;4.60;0.82;20;4.10;1.52;20;4.83;1.92;23;2.78;2.02;23;1.23;0.53;22;2.57;1.65;23
272;cepillo;brush;N;5.24;0.54;21;3.91;1.80;22;5.91;1.57;22;6.65;0.93;20;6.00;1.45;20;6.35;0.93;20
273;cerdo;pork;N;4.15;1.57;20;4.70;1.53;20;5.86;1.42;22;6.77;0.53;22;5.45;1.74;22;5.85;1.35;20
274;certeza;certainty;N;6.65;1.07;23;3.85;2.58;20;3.25;2.00;20;1.90;0.79;20;2.45;1.41;22;5.25;1.80;20
275;cerveza;beer;N;6.05;1.76;20;4.86;2.64;22;6.57;0.81;21;6.95;0.21;22;5.91;1.88;23;6.33;1.28;21
276;cesta;basket;N;5.18;0.50;22;3.30;1.87;20;5.90;1.33;20;6.59;0.73;22;5.64;1.92;22;5.90;1.30;21
277;chaleco;vest;N;5.13;0.34;23;3.95;1.76;20;6.70;0.47;20;6.87;0.46;23;5.32;1.73;22;6.22;1.20;23
278;chalet;chalet;N;6.96;1.72;23;4.70;2.72;20;6.35;0.99;20;6.70;0.47;23;5.59;1.74;22;6.09;1.19;22
279;champán;champagne;N;6.45;1.84;22;5.30;2.25;20;6.59;0.59;22;6.82;0.50;22;6.04;1.40;24;5.71;1.79;21
280;champiñón;mushroom;N;5.43;0.87;21;3.95;1.39;20;6.65;1.14;20;6.90;0.30;21;5.91;1.63;22;5.55;1.67;20
281;chándal;tracksuit;N;4.75;1.65;20;3.65;2.01;20;5.62;1.36;21;6.91;0.29;22;6.23;1.45;22;6.40;0.75;20
282;chantajista;blackmailer;A N;2.00;1.08;20;6.65;1.35;20;5.48;1.44;23;2.96;1.72;23;2.68;1.84;22;5.18;1.33;22
283;charca;pond;N;5.00;0.98;22;3.50;1.60;22;6.00;1.38;21;6.05;1.21;22;4.36;1.97;22;4.95;1.75;21
284;cheque;paycheck;V N;7.65;1.04;20;7.00;1.95;22;5.73;1.32;22;6.70;0.57;20;5.83;1.61;23;5.20;1.32;20
285;chico;boy;A N;5.50;1.32;20;4.25;1.77;20;5.00;1.65;20;6.77;0.61;22;5.55;1.90;22;6.62;0.92;21
286;chillido;shriek;N;3.00;1.56;20;7.25;1.45;20;5.38;1.47;21;3.64;2.17;22;5.59;2.11;22;5.05;1.70;20
287;china;China;V N A;5.32;1.04;22;4.10;1.89;21;6.14;0.99;22;5.95;1.29;22;5.35;1.79;20;5.90;1.25;20
288;chocolate;chocolate;N;7.19;1.17;21;5.75;2.00;20;6.40;0.75;20;6.80;0.52;20;6.50;1.00;20;6.95;0.22;21
289;chófer;driver;N;5.20;0.77;20;3.25;1.86;20;6.55;0.67;22;6.41;0.73;22;5.50;1.79;22;4.90;2.05;20
290;chorizo;chorizo;V N;4.55;1.23;20;4.45;1.82;20;5.80;1.58;20;6.77;0.61;22;6.15;1.42;20;6.18;1.30;22
291;ciclo;cycle;N;5.20;1.15;20;4.32;1.76;22;2.77;1.77;22;3.52;2.11;21;4.00;2.63;23;5.05;1.47;20
292;ciclón;cyclone;N;3.14;1.20;21;6.29;1.38;21;5.50;1.73;20;5.20;1.77;20;4.45;2.33;20;4.05;1.68;22
293;ciempiés;centipede;N;4.43;1.29;21;4.77;2.07;22;6.65;1.14;20;6.68;0.57;22;3.85;2.25;20;5.43;1.94;21
294;científica;scientific;A N;7.25;1.45;20;4.75;1.92;20;4.38;1.66;21;5.41;2.02;22;5.50;1.41;22;6.00;0.97;20
295;cigarrillo;cigarette;N;3.36;2.38;22;4.55;2.24;20;6.95;0.22;21;6.90;0.45;20;6.09;1.80;22;6.24;0.70;21
296;cinturón;belt;N;4.65;1.09;26;3.65;1.73;20;5.90;1.51;21;6.90;0.31;20;6.05;1.89;22;6.74;0.54;23
297;circulación;circulation;N;5.00;1.54;23;4.91;2.41;22;3.71;1.06;21;4.18;1.82;22;5.73;1.75;22;5.10;1.26;21
298;círculo;circle;N;5.40;0.68;20;3.18;1.79;22;6.27;1.39;22;6.95;0.22;20;4.73;2.27;22;5.95;1.29;22
299;cirujano;surgeon;N;5.71;1.85;24;6.62;1.96;21;6.41;0.59;22;6.65;0.67;20;5.90;1.62;20;5.27;1.75;22
300;cisne;swan;N A;6.95;1.05;20;2.45;1.79;22;6.59;1.10;22;6.68;0.72;22;5.57;1.78;23;4.90;2.07;21
301;civilización;civilization;N;6.25;1.16;20;4.05;2.08;22;5.09;1.78;23;4.78;2.15;23;5.04;2.40;23;5.25;1.65;20
302;claridad;clarity;N;6.70;1.36;23;2.95;2.31;20;2.77;1.34;22;2.65;1.43;23;3.32;1.99;22;5.62;1.28;21
303;clase;class;N;5.41;1.18;22;4.41;1.59;22;4.55;2.06;22;6.20;1.06;20;6.14;1.58;22;6.81;0.51;21
304;cliente;customer;N;5.82;0.85;22;4.75;2.57;20;4.75;2.00;20;5.38;1.75;21;5.82;1.44;22;6.48;0.98;21
305;clima;climate;N;5.90;1.37;21;3.40;1.93;20;2.90;1.74;20;4.15;1.79;20;5.35;1.60;20;6.17;1.47;23
306;cobarde;coward;A N;2.91;1.44;23;5.73;2.14;22;4.77;1.93;22;2.90;1.61;21;4.68;1.94;22;5.35;1.39;20
307;cocaína;cocaine;N;2.25;1.39;24;5.33;2.99;21;6.82;0.50;22;5.86;1.46;22;5.90;1.89;20;5.09;2.04;22
308;coche;car;N;5.82;1.44;22;5.65;1.79;20;6.14;1.67;22;6.91;0.43;22;6.65;0.75;20;6.86;0.35;22
309;coco;coconut;N;5.73;1.12;22;3.59;1.79;22;5.90;1.58;21;6.71;0.46;21;5.50;2.06;20;5.73;1.64;22
310;cocodrilo;crocodile;N;3.85;1.23;20;6.85;1.98;20;6.95;0.21;22;6.75;0.44;20;5.00;2.28;23;5.68;1.52;22
311;codicia;greed;N V;2.74;1.39;23;6.05;1.94;22;2.85;1.90;20;2.45;1.47;20;2.14;1.13;22;3.95;2.06;21
312;código;code;N;4.71;0.72;21;3.90;1.83;20;3.75;1.77;20;4.81;1.60;21;5.00;1.95;22;5.68;1.46;22
313;codo;elbow;N;4.64;0.95;22;3.62;1.94;21;6.45;1.18;22;6.96;0.21;23;4.77;2.62;22;6.62;0.92;21
314;coito;intercourse;V N;7.43;1.16;21;7.86;0.99;22;5.95;1.15;20;5.60;1.47;20;5.64;1.81;22;5.38;1.24;21
315;cojo;lame;V N A;3.31;1.54;26;5.00;1.52;20;5.19;1.97;21;5.50;1.64;20;4.45;2.15;22;5.90;1.12;20
316;cola;tail;N;4.07;1.21;28;4.70;2.29;23;3.00;1.88;22;5.62;1.83;21;4.76;2.21;21;6.09;1.11;22
317;colaboración;collaboration;N;7.45;0.76;20;4.91;2.16;22;3.26;1.84;23;3.70;1.72;23;4.83;2.29;23;5.77;1.41;22
318;colapso;collapse;V N;3.25;1.67;24;6.43;2.40;21;3.45;1.82;20;3.09;2.27;22;4.95;1.90;20;4.64;1.81;22
319;cólera;anger;N;3.05;1.47;20;7.00;1.95;20;4.05;1.76;20;2.67;1.46;21;3.68;2.19;22;4.38;1.63;21
320;colonia;colony;N;6.43;1.03;21;4.41;1.97;22;4.95;1.91;21;6.20;1.28;20;5.90;2.15;20;6.59;0.73;22
321;columna;column;N;4.91;0.29;22;3.60;1.67;20;5.10;1.29;20;6.77;0.53;22;5.15;2.46;20;6.29;0.78;21
322;coma;coma;N V;2.81;1.47;21;3.95;2.40;22;3.90;1.74;20;5.86;1.59;21;5.10;2.45;20;6.24;1.09;21
323;comadrona;midwife;N;7.00;1.34;20;5.45;1.93;20;6.74;0.54;23;5.87;1.52;23;4.64;1.87;22;3.10;1.61;21
324;combinación;combination;N;5.45;0.91;22;3.70;1.81;20;3.09;1.69;22;1.77;0.97;22;3.68;1.70;22;4.68;1.76;22
325;comedor;dining room;N;5.73;1.03;22;4.45;1.63;22;5.81;1.60;21;6.05;1.13;22;5.80;2.12;20;6.59;0.80;22
326;comentario;comment;N;5.21;1.25;24;4.86;1.31;21;3.80;1.70;20;3.40;1.73;20;4.90;2.10;20;6.45;0.89;20
327;comercio;trade;V N;5.40;1.10;20;4.77;2.20;22;3.73;1.98;22;5.50;1.19;20;6.10;1.25;20;5.86;1.32;22
328;cometa;comet;N V;6.26;1.18;23;3.30;2.18;20;5.40;1.57;20;6.19;1.08;21;6.18;1.30;22;5.15;1.95;20
329;comodidad;comfort;N;7.36;1.73;22;1.60;0.75;20;2.80;1.61;20;3.35;1.80;23;5.77;1.77;22;6.50;0.89;20
330;compasión;compassion;N;4.30;2.51;23;4.23;2.64;22;2.25;1.33;20;2.48;0.81;21;4.41;2.09;22;6.10;1.37;20
331;complacer;please;V;7.27;1.32;22;4.60;2.91;20;3.64;1.62;22;2.48;1.38;23;5.04;1.88;24;5.81;1.08;21
332;complejo;complex;A N;3.91;1.60;22;5.45;1.82;22;2.76;1.22;21;2.86;1.68;21;3.30;1.75;20;5.60;1.50;20
333;complicación;complication;N;2.25;0.85;20;7.59;1.33;22;2.40;1.60;20;1.77;1.15;22;4.83;2.10;23;5.68;1.76;22
334;compositora;composer;N;6.31;1.46;26;4.00;1.92;20;5.62;1.60;21;3.25;2.10;20;4.32;1.94;22;5.00;1.61;21
335;compromiso;commitment;N;6.39;1.41;23;6.14;2.55;22;3.52;1.75;21;3.38;2.04;21;5.64;1.62;22;5.76;1.48;21
336;comunicación;communication;N;7.25;1.07;20;4.09;2.27;22;3.17;1.47;23;4.61;2.27;23;5.70;1.94;23;6.32;0.89;22
337;comunidad;community;N;6.59;1.37;22;4.00;2.05;20;3.67;1.83;21;3.27;1.80;22;5.32;1.81;22;5.14;1.68;21
338;concesionario;dealer;N;5.54;1.53;26;4.25;1.55;20;6.10;1.22;21;6.60;1.14;20;5.14;1.78;22;5.27;1.83;22
339;conciencia;consciousness;N V;6.65;1.40;23;4.80;2.95;20;3.05;1.76;22;1.62;0.67;21;3.55;2.18;22;6.14;0.65;21
340;concurso;competition;V N;5.95;1.43;20;6.00;2.05;20;3.38;1.53;21;4.95;1.91;21;5.27;1.75;22;5.75;1.41;20
341;condena;sentence;N V;2.48;1.16;23;6.23;2.20;22;3.45;1.64;20;3.20;1.32;20;5.05;2.08;22;4.15;1.98;20
342;condenado;condemned;A V;1.92;0.93;26;6.75;2.02;20;4.71;1.82;21;4.25;1.94;20;4.05;1.89;22;4.38;1.94;21
343;condesa;countess;N V;4.70;1.63;20;4.45;1.96;20;5.43;1.29;21;4.68;1.89;22;3.27;2.21;22;3.91;1.44;22
344;condición;condition;N;4.79;1.28;24;5.43;0.98;21;2.27;1.35;22;1.45;0.91;22;3.05;2.11;20;5.95;1.32;20
345;condón;condom;N;6.60;1.85;20;5.64;2.68;22;6.82;0.50;22;6.81;0.40;21;6.48;0.73;23;6.43;0.81;21
346;conducto;duct;N;4.80;1.01;20;4.14;1.62;21;4.52;1.97;23;5.70;1.79;23;3.95;2.44;22;4.05;1.36;22
347;conductor;conductor;N;5.29;1.15;28;4.96;1.97;23;4.14;2.01;22;5.43;2.06;21;6.19;1.29;21;6.65;0.93;20
348;conferencia;conference;N V;5.30;1.33;23;3.59;2.17;22;4.80;1.67;20;5.20;1.36;20;5.55;1.44;22;5.30;1.69;20
349;conflicto;conflict;N;2.27;1.42;22;7.65;1.04;20;2.95;1.54;20;3.76;1.51;21;5.04;1.60;24;5.73;1.32;22
350;conjunto;set;V A N;5.32;1.52;22;4.65;2.03;20;2.15;1.46;20;2.55;1.87;22;3.33;2.22;24;5.65;1.63;20
351;conjuro;spell;V N;4.91;1.11;22;5.20;1.61;20;3.70;2.15;20;3.05;1.50;20;4.04;2.44;24;3.76;1.89;21
352;conquista;conquest;N V;6.14;1.91;22;6.05;2.16;20;3.95;1.96;20;3.05;1.68;22;5.00;1.98;22;5.55;1.76;20
353;consejo;advice;N;5.85;1.14;20;4.05;1.88;20;3.95;1.84;22;2.14;1.64;22;4.60;1.90;20;6.62;0.59;21
354;consolador;dildo;N;5.73;1.46;26;6.10;1.68;20;4.86;1.65;21;6.25;1.41;20;4.77;2.11;22;4.95;1.84;22
355;conspiración;conspiracy;N;3.41;1.84;22;5.65;2.60;20;3.50;1.92;22;2.65;1.75;23;2.50;1.71;22;4.23;1.69;22
356;contaminación;contamination;N;1.90;1.07;20;6.55;1.95;22;4.30;1.61;23;5.70;1.84;23;5.78;1.76;23;6.30;1.08;20
357;contenido;content;V A N;5.14;0.79;21;3.95;1.59;22;3.50;2.12;20;2.09;1.15;22;3.50;1.87;22;5.70;1.59;20
358;contexto;context;N;5.23;0.61;22;4.32;1.70;22;2.59;1.56;22;2.30;1.22;20;3.14;2.23;22;5.75;1.41;20
359;contrariedad;contrariness;N;3.27;1.12;22;6.05;1.76;20;2.50;1.54;22;1.77;1.38;22;3.42;2.02;24;4.45;2.02;22
360;contrincante;opponent;N;3.95;1.47;20;6.70;1.78;20;5.61;1.44;23;2.45;1.70;20;3.86;1.98;22;4.76;2.17;21
361;convivir;to live together with;V;6.95;0.94;20;5.05;2.38;22;4.39;1.80;23;4.65;2.04;23;5.52;2.00;23;6.19;1.12;21
362;copa;glass;N V;5.70;1.63;20;4.36;2.17;22;6.00;1.08;20;6.65;0.93;20;6.75;0.44;20;6.45;0.67;22
363;coral;coral;N A;5.71;1.06;21;3.95;1.56;22;5.09;1.72;22;5.82;1.18;22;5.15;2.39;20;4.80;1.51;20
364;corazón;heart;N;7.05;1.36;20;5.50;2.18;22;5.41;1.62;22;6.55;0.83;20;6.25;1.45;20;6.75;0.64;20
365;corbata;tie;N;4.96;1.15;23;4.40;2.01;20;6.68;0.57;22;6.91;0.29;22;6.55;0.80;22;5.91;1.60;22
366;corcho;cork;V N;5.05;1.21;22;3.73;1.86;22;6.30;1.08;20;6.14;1.24;21;5.23;2.18;22;5.67;1.24;21
367;cordero;lamb;N;5.24;1.22;21;4.05;1.86;22;6.41;1.01;22;6.55;0.74;22;5.14;2.08;22;5.95;1.32;21
368;corrección;correction;N;4.86;1.11;21;5.14;2.01;22;3.29;1.68;21;2.77;2.07;22;4.68;1.76;22;5.87;1.71;23
369;corredor;runner;N;4.82;1.50;22;4.91;1.93;22;4.86;1.74;21;6.14;0.94;22;4.10;2.20;20;4.90;1.86;20
370;corredora;brokerage;A N;5.46;1.14;28;4.48;2.11;23;4.32;1.96;22;5.10;1.89;21;4.10;1.97;21;5.48;1.56;23
371;corte;court;V N;3.14;1.11;21;6.55;1.71;22;3.81;1.83;21;4.91;1.85;22;5.40;1.96;20;6.35;1.19;23
372;corteza;cortex;N;4.62;0.97;21;3.82;1.74;22;4.27;1.91;22;5.14;1.83;22;4.50;2.52;20;6.09;1.28;23
373;costo;cost;N;4.48;2.16;21;4.59;2.13;22;3.19;2.02;21;2.68;2.21;22;3.45;2.35;20;4.78;1.68;23
374;costumbre;costum;N;5.10;1.48;20;3.27;1.49;22;3.09;1.63;22;2.00;1.41;23;4.59;2.04;22;6.00;1.07;22
375;cráneo;skull;N;4.95;0.67;21;5.25;1.86;20;6.60;0.60;20;5.95;1.75;21;5.41;2.09;22;5.77;1.63;22
376;creación;creation;N;7.00;1.48;22;6.15;2.16;20;1.82;1.05;22;2.62;1.69;21;4.75;2.09;24;4.76;1.73;21
377;creatividad;creativity;N;8.14;0.77;22;5.95;2.16;20;3.00;1.78;20;2.10;1.17;20;5.50;1.82;22;5.52;1.78;23
378;crecimiento;growth;N;7.26;1.14;23;5.55;2.72;22;3.45;1.73;20;3.13;1.42;23;5.41;1.87;22;6.55;1.10;20
379;creencia;belief;N;5.50;1.37;22;4.15;2.01;20;3.05;2.06;20;2.20;2.14;20;4.00;2.11;23;5.25;1.48;20
380;crisis;crisis;N;1.76;0.89;21;7.43;1.03;21;3.45;1.73;20;3.95;2.01;20;5.40;2.04;20;6.45;1.44;22
381;cristal;crystal;N;5.00;0.90;28;4.04;2.14;23;4.05;2.26;22;6.48;1.08;21;4.90;2.19;21;6.10;1.41;21
